ref, citation
1, |D.J. Abson, et al., Leverage points for sustainability transformation (Available at),Ambio 46 (1) (2017) 30–39, https://doi.org/10.1007/s13280-016-0800-y.|
2, |S. Andrew, L. Armstrong, A. Birney, Governance – the overlooked route totransformation: How can we best organise for change? Forum Future (2021)(Available at), 〈https://www.thefuturescentre.org/governance-the-overlooked-route-to-transformation-how-can-we-best-organise-for-change/〉.|
3, |M. Andriamahefazafy, et al., Sustainable development goal 14: To what degreehave we achieved the 2020 targets for our oceans? (Available at), Ocean Coast.Manag. 227 (January) (2022), 106273, https://doi.org/10.1016/j.ocecoaman.2022.106273.|
4, |D. Armitage, M. Marschke, T. van Tuyen, Early-stage transformation of coastalmarine governance in Vietnam? (Available at), Mar. Policy 35 (5) (2011) 703–711,https://doi.org/10.1016/j.marpol.2011.02.011.|
5, |F. Avelino, et al., The politics of sustainability transitions (Available at), J. Environ.Policy Plan. 18 (5) (2016) 557–567, https://doi.org/10.1080/1523908X.2016.1216782.|
6, |N.J. Bennett, et al., Just transformations to sustainability (Available at),Sustainability 11 (14) (2019) 1–18, https://doi.org/10.3390/su11143881.|
7, |F. Biermann, et al., Transforming governance and institutions for globalsustainability: Key insights from the Earth System Governance Project (Availableat), Curr. Opin. Environ. Sustain. 4 (1) (2012) 51–60, https://doi.org/10.1016/j.cosust.2012.01.014.|
8, |F. Biermann, et al., Scientific evidence on the political impact of the sustainabledevelopment goals (Available at), Nat. Sustain (2022), https://doi.org/10.1038/s41893-022-00909-5.|
9, |J. Blythe, et al., The dark side of transformation: latent risks in contemporarysustainability discourse (Available at), Antipode 50 (5) (2018) 1206–1223, https://doi.org/10.1111/anti.12405.|
10, |J. Blythe, D. Armitage, et al., Conditions and cautions for transforming oceangovernance (Available at), Water Resil. (2021) 241–261, https://doi.org/10.1007/978-3-030-48110-0.|
11, |J. Blythe, Nathan James Bennett, et al., The politics of ocean governancetransformations (Available at), Front. Mar. Sci. 8 (July) (2021), https://doi.org/10.3389/fmars.2021.634718.|
12, |M. Bogers, et al., The impact of the Sustainable Development Goals on a network of276 international organizations (Available at), Glob. Environ. Change 76 (2022),102567, https://doi.org/10.1016/j.gloenvcha.2022.102567.|
13, |U. Brand, Transformation" as a new critical orthodoxy: The strategic use of theterm “transformation” does not prevent multiple crises (Available at), Gaia 25 (1)(2016) 23–27, https://doi.org/10.14512/gaia.25.1.7.|
14, |Bulkeley, H. et al. (2020) Moving towards transformative change for biodiversity:harnessing the potential of the Post-2020 Global Biodiversity Framework, p. 48.|
15, |S. Burch, et al., New directions in earth system governance research (Available at),Earth Syst. Gov. 1 (2019), 100006, https://doi.org/10.1016/j.esg.2019.100006.|
16, |B.C. Chaffin, et al., ‘Transformative environmental governance (Available at),Annu. Rev. Environ. Resour. 41 (2016) 399–423, https://doi.org/10.1146/annurev-environ-110615-085817.|
17, |J. Colding, S. Barthel, Exploring the social-ecological systems discourse 20 yearslater (Available at), Ecol. Soc. 24 (1) (2019), 240102, https://doi.org/10.5751/ES10598-240102.|
18, |D. Davelaar, Transformation for sustainability: a deep leverage points approach(Available at), Sustain. Sci. 16 (3) (2021) 727–747, https://doi.org/10.1007/s11625-020-00872-0.|
19, |S. Díaz, et al., Pervasive human-driven decline of life on Earth points to the needfor transformative change (Available at), Science 366 (6471) (2019), https://doi.org/10.1126/science.aax3100.|
20, |B. Erinosho, et al., Transformative governance for ocean biodiversity’, Transform.Biodivers. Gov. (2021) (Available at), 〈https://papers.ssrn.com/abstract=3853886〉.|
21, |J. Eshuis, L. Gerrits, The limited transformational power of adaptive governance: astudy of institutionalization and materialization of adaptive governance (Availableat), Public Manag. Rev. 23 (2) (2021) 276–296, https://doi.org/10.1080/14719037.2019.1679232.|
22, |I. Fazey, et al., Transformation in a changing climate: a research agenda (Availableat), Clim. Dev. 10 (3) (2018) 197–217, https://doi.org/10.1080/17565529.2017.1301864.|
23, |G. Feola, Societal transformation in response to global environmental change: Areview of emerging concepts (Available at), Ambio 44 (5) (2015) 376–390, https://doi.org/10.1007/s13280-014-0582-z.|
24, |G. Feola, O. Koretskaya, D. Moore, (Un)making in sustainability transformationbeyond capitalism’ (Available at), Glob. Environ. Change 69 (June) (2021),102290, https://doi.org/10.1016/j.gloenvcha.2021.102290.|
25, |Fischer-Kowalski, M. and Rotmans, J. (2019) ‘Conceptualizing, Observing, andInfluencing Social – Ecological Transitions’, 14(2).|
26, |C. Folke, et al., Resilience thinking: Integrating resilience, adaptability andtransformability (Available at), Ecol. Soc. 15 (4) (2010), https://doi.org/10.5751/ES-03610-150420.|
27, |L. Fries, J. Everett, N. Davies, Transformational opportunities for people, ocean andplanet (Available at), Blue Clim. Initiat., Tetiaroa Soc. (2021), https://doi.org/10.5281/zenodo.4540323.|
28, |F.W. Geels, et al., Sociotechnical transitions for deep decarbonization, Science 357(6357) (2017) 1242–1244.|
29, |F.W. Geels, J. Schot, Typology of sociotechnical transition pathways (Available at),Res. Policy 36 (3) (2007) 399–417, https://doi.org/10.1016/j.respol.2007.01.003.|
30, |S. Gelcich, et al., Navigating transformations in governance of Chilean marinecoastal resources (Available at), Proc. Natl. Acad. Sci. USA 107 (39) (2010)16794–16799, https://doi.org/10.1073/pnas.1012021107.|
